Zones,Contacts,Channels,,,,
PNWDigital,Oregon 1,Longview/Rainier,,,,
Hotspot,Washington 1,DPHS Static,,,,
Local,Washington 2,DPHS Wide,,,,
SeattleDMR,Cascades 1,Kelso/Columbia,,,,
"Longview, WA VHF 35mi",Local 1,Boistfort/BawFaw,,,,
"Longview, WA UHF 35mi",Local 2,Olympia/Cap Pk,,,,
Simplex A VHF,Parrot 1,Ariel/Ariel VHF,,,,
Simplex A UHF,,Portland/MtScott,,,,
Simplex D VHF,,Portland/PPMC,,,,
Simplex D UHF,,Portland/Sylvan,,,,
,,Gresham/Hospital,,,,
,,Corbett/Lookout,,,,
,,HoodRiver/Burd,,,,
,,Cascad Lock/Hill,,,,
,,Salem S/Prospect,,,,
,,Salem/Orchard,,,,
,,UL Tone,,,,
